Datum_Uhrzeit;Typ;Symbol;Menge;Preis_pro_Einheit;Gesamtbetrag;Gebuehren;Netto_Betrag;Gewinn_Verlust;Gewinn_Verlust_prozent;Handelsgrund;Order_ID;Portfolio_Wert
26.10.2025 18:45:19;BUY;SOL;1.06531946;199.00000000;212.00;0.21;211.79;0.00;0.00;Auto Trade - BUY;AUTO_20251026184518;423.9971445
26.10.2025 18:46:22;SELL;SOL;1.06531946;199.07000000;212.07;0.21;212.29;0.07;0.04;MANUELL GESCHLOSSEN;MANUAL_20251026184622;636.070289112098
26.10.2025 18:46:39;BUY;SOL;1.06526593;199.01000000;212.00;0.21;211.79;0.00;0.00;Auto Trade - BUY;AUTO_20251026184638;423.9971445
26.10.2025 19:13:03;BUY;SOL;1.06300000;199.51000000;212.08;0.21;211.87;0.00;0.00;Auto Trade - BUY;68fe64af747be700074a6920;423.9971445
26.10.2025 19:32:52;SELL;SOL;1.06300000;198.99000000;211.53;0.21;211.74;-0.55;-0.26;MANUELL GESCHLOSSEN;MANUAL_20251026193252;423.5613145
26.10.2025 20:38:17;BUY;ETH;0.05207450;4066.88000000;211.78;0.21;211.57;0.00;0.00;Schnelles Signal - BUY;QUICK_20251026203817;423.5613145
26.10.2025 23:59:33;BUY;BTC-USDT;0.00037193;114617.70000000;42.63;0.04;42.59;0.00;0.00;Auto-Trade: STRONG_BUY;;0
26.10.2025 23:59:39;BUY;SHIB-USDT;4023127.57620000;0.00001060;42.63;0.04;42.59;0.00;0.00;Auto-Trade: STRONG_BUY;;0
27.10.2025 14:13:42;BUY;SOL-USDT;0.63900000;200.00000000;127.80;0.13;127.67;0.00;0.00;Auto-Trade: STRONG_BUY;68ff70085b8f0a0007cadf0b;426.11
27.10.2025 14:13:43;BUY;BNB-USDT;0.10940000;1168.00000000;127.78;0.13;127.65;0.00;0.00;Auto-Trade: STRONG_BUY;68ff7009206dec00074c9912;426.11
27.10.2025 20:53:20;BUY;XRP-USDT;47.75390000;2.67639000;127.81;0.13;127.68;0.00;0.00;Auto-Trade: STRONG_BUY;68ffcdb1563a8a00071d6558;426.03
28.10.2025 08:01:58;BUY;XRP-USDT;15.98350000;2.64438000;42.27;0.04;42.22;0.00;0.00;Auto-Trade: STRONG_BUY;69006a67cfba740007722132;422.66
29.10.2025 00:32:54;BUY;XRP-USDT;40.40560000;2.61085000;105.49;0.11;105.39;0.00;0.00;Auto-Trade: STRONG_BUY;690152a929daa70007e16ab3;421.97
29.10.2025 00:46:26;BUY;DOGE-USDT;544.02990000;0.19375000;105.41;0.11;105.30;0.00;0.00;Auto-Trade: STRONG_BUY;690155d244d9eb00073aa798;421.62
29.10.2025 00:57:33;BUY;DOGE-USDT;434.99280000;0.19380000;84.30;0.08;84.22;0.00;0.00;Auto-Trade: STRONG_BUY;6901586d46243100077b389f;421.51
29.10.2025 00:57:38;BUY;BNB-USDT;0.07640000;1103.66600000;84.32;0.08;84.24;0.00;0.00;Auto-Trade: STRONG_BUY;690158725b8f0a0007452716;421.41
29.10.2025 01:05:51;BUY;SOL-USDT;0.43400000;194.13000000;84.25;0.08;84.17;0.00;0.00;Auto-Trade: STRONG_BUY;69015a5f649af90007316d47;420.91
29.10.2025 01:05:56;BUY;XRP-USDT;32.36340000;2.60159000;84.20;0.08;84.11;0.00;0.00;Auto-Trade: STRONG_BUY;69015a64f8c03a0007bc8022;420.98
29.10.2025 01:06:02;BUY;BTC-USDT;0.00074589;112862.00000000;84.18;0.08;84.10;0.00;0.00;Auto-Trade: STRONG_BUY;69015a6a84fb3200076f3554;420.92
29.10.2025 10:00:42;BUY;SOL-USDT;0.43600000;194.52000000;84.81;0.08;84.73;0.00;0.00;Auto-Trade: STRONG_BUY;6901d7bbd50e65000706142a;424.21
29.10.2025 10:00:43;BUY;XRP-USDT;32.28990000;2.62751000;84.84;0.08;84.76;0.00;0.00;Auto-Trade: STRONG_BUY;6901d7bc462431000767f55d;424.21
29.10.2025 10:00:47;BUY;BTC-USDT;0.00075030;113077.90000000;84.84;0.08;84.76;0.00;0.00;Auto-Trade: STRONG_BUY;6901d7bf299450000757ee56;424.21
29.10.2025 13:47:38;SELL;SOL-USDT;0.43600000;198.51000000;86.55;0.09;86.46;1.74;2.05;Manuell geschlossen;69020cebedce7e0007a9d0e6;426.58
29.10.2025 13:47:44;SELL;XRP-USDT;32.28990000;2.65631000;85.77;0.09;85.69;0.93;1.10;Manuell geschlossen;69020cf0ea5db200074a0376;426.58
29.10.2025 13:47:49;SELL;BTC-USDT;0.00075030;113148.50000000;84.90;0.08;84.81;0.05;0.06;Manuell geschlossen;69020cf62ad7bf00071d30dd;426.58
